datetime,source_ip,username,success,failure_reason
2022-01-01 00:00:01,44.92.75.114,ZackWallace,true,
2022-01-01 00:02:02,44.92.75.114,ZackWallace,true,
2022-01-01 00:12:03,44.92.75.114,ZackWallace,true,
2022-01-01 01:01:01,120.201.57.21,ArmandoWallace,true,
2022-01-01 01:02:02,120.201.57.21,ArmandoWallace,true,
2022-01-01 02:03:01,30.178.107.83,ArmandoRay,true,
2022-01-01 02:03:02,30.178.107.83,ArmandoRay,true,
2022-01-01 02:06:03,30.178.107.83,ArmandoRay,true,
2022-01-01 04:00:01,63.210.146.184,LuisLawson,true,
2022-01-01 04:01:02,63.210.146.184,LuisLawson,true,
2022-01-01 05:01:01,52.139.163.127,MathewLambert,true,
2022-01-01 05:04:02,52.139.163.127,MathewLambert,true,
2022-01-01 05:04:03,52.139.163.127,MathewLambert,true,
2022-01-01 05:12:04,52.139.163.127,MathewLambert,true,
2022-01-01 05:12:05,52.139.163.127,MathewLambert,true,
2022-01-01 05:13:06,52.139.163.127,MathewLambert,false,ErrorWrongPassword
2022-01-01 05:13:07,52.139.163.127,MathewLambert,true,
2022-01-01 06:00:01,28.81.192.108,KurtGardner,true,
2022-01-01 07:01:01,7.100.156.8,PaulCraig,true,
2022-01-01 09:02:01,213.159.31.21,ArmandoPowell,true,
2022-01-01 09:04:02,161.51.26.147,ArmandoPowell,true,
2022-01-01 09:07:03,248.141.199.154,ArmandoPowell,true,
2022-01-01 09:09:04,248.141.199.154,ArmandoPowell,true,
2022-01-01 10:01:01,8.193.151.118,RafaelLawson,true,
2022-01-01 10:04:02,8.193.151.118,RafaelLawson,true,
2022-01-01 10:12:03,8.193.151.118,RafaelLawson,true,
2022-01-01 11:00:01,43.243.27.108,CalebDaniels,true,
2022-01-01 11:03:02,43.243.27.108,CalebDaniels,true,
2022-01-01 11:06:03,43.243.27.108,CalebDaniels,false,ErrorWrongPassword
2022-01-01 11:06:04,43.243.27.108,CalebDaniels,true,
2022-01-01 11:07:05,20.59.21.252,CalebDaniels,true,
2022-01-01 12:08:01,216.147.27.247,MathewMitchell,true,
2022-01-01 12:09:02,216.147.27.247,MathewMitchell,true,
2022-01-01 13:00:01,189.253.114.24,KentLawson,true,
2022-01-01 14:32:01,155.82.30.97,LusRhodes,false,ErrorWrongUsername
2022-01-01 14:32:02,155.82.30.97,LusRhodes,false,ErrorWrongUsername
2022-01-01 14:32:03,155.82.30.97,ZackPearson,false,ErrorWrongPassword
2022-01-01 14:32:04,155.82.30.97,ZackPearson,true,
2022-01-01 14:32:05,155.82.30.97,DanLambert,true,
2022-01-01 14:32:06,155.82.30.97,KirkRhdes,false,ErrorWrongUsername
2022-01-01 14:32:07,155.82.30.97,KirkRhdes,false,ErrorWrongUsername
2022-01-01 14:32:08,155.82.30.97,hArmandoHolland,false,ErrorWrongUsername
2022-01-01 14:32:09,155.82.30.97,hArmandoHolland,false,ErrorWrongUsername
2022-01-01 14:32:10,155.82.30.97,PaulMitchell,false,ErrorWrongPassword
2022-01-01 14:32:11,155.82.30.97,PaulMitchell,true,
2022-01-01 14:32:12,155.82.30.97,DaleCurtis,false,ErrorWrongPassword
2022-01-01 14:32:13,155.82.30.97,DaleCurtis,false,ErrorWrongPassword
2022-01-01 14:32:14,155.82.30.97,PaulPowll,false,ErrorWrongUsername
2022-01-01 14:32:15,155.82.30.97,PaulPowll,false,ErrorWrongUsername
2022-01-01 14:32:16,155.82.30.97,CalebPowell,true,
2022-01-01 14:32:17,155.82.30.97,ArmandoRhodes,false,ErrorWrongPassword
2022-01-01 14:32:18,155.82.30.97,ArmandoRhodes,false,ErrorWrongPassword
2022-01-01 14:32:19,155.82.30.97,KentPearsfon,false,ErrorWrongUsername
2022-01-01 14:32:20,155.82.30.97,KentPearsfon,false,ErrorWrongUsername
2022-01-01 14:32:21,155.82.30.97,GavinCurtis,false,ErrorWrongPassword
2022-01-01 14:32:22,155.82.30.97,GavinCurtis,true,
2022-01-01 14:32:23,155.82.30.97,GaviHolland,false,ErrorWrongUsername
2022-01-01 14:32:24,155.82.30.97,GaviHolland,false,ErrorWrongUsername
2022-01-01 14:32:25,155.82.30.97,ChadMitchell,false,ErrorWrongPassword
2022-01-01 14:32:26,155.82.30.97,ChadMitchell,false,ErrorWrongPassword
2022-01-01 14:32:27,155.82.30.97,CalebGarrdner,false,ErrorWrongUsername
2022-01-01 14:32:28,155.82.30.97,CalebGarrdner,false,ErrorWrongUsername
